# 한자 대표 훈음 (N1 전반)
氏 성씨 씨
統 거느릴 통
保 지킬 보
第 차례 제
結 맺을 결
派 갈래 파
案 책상 안
策 꾀 책
基 터 기
価 값 가
提 끌 제
挙 들 거
応 응할 응
企 꾀할 기
検 검사할 검
藤 등나무 등
沢 못 택
裁 옷마를 재
証 증거 증
援 도울 원
施 베풀 시
井 우물 정
護 도울 호
展 펼 전
態 모습 태
鮮 고울 선
視 볼 시
条 가지 조
幹 줄기 간
独 홀로 독
宮 집 궁
率 비율 률
衛 지킬 위
張 베풀 장
監 볼 감
環 고리 환
審 살필 심
義 옳을 의
訴 호소할 소
株 그루 주
姿 모양 자
閣 집 각
韓 나라 한
衆 무리 중
評 평할 평
岡 언덕 강
影 그림자 영
松 소나무 송
撃 칠 격
佐 도울 좌
核 씨 핵
整 가지런할 정
融 녹을 융
製 지을 제
票 표 표
渉 건널 섭
響 울릴 향
阪 언덕 판
推 밀 추
請 청할 청
器 그릇 기
士 선비 사
討 칠 토
攻 칠 공
崎 험할 기
督 감독할 독
授 줄 수
催 재촉할 최
及 미칠 급
憲 법 헌
離 떠날 리
激 격할 격
摘 딸 적
系 이어맬 계
批 비평할 비
郎 사내 랑
健 굳셀 건
盟 맹세 맹
従 좇을 종
修 닦을 수
隊 무리 대
織 짤 직
拡 넓힐 확
故 연고 고
振 떨칠 진
弁 고깔 변 (말씀·판별할 변)
就 나아갈 취
異 다를 이
献 드릴 헌
厳 엄할 엄
維 벼리 유
浜 물가 빈
遺 남길 유
塁 보루 루
邦 나라 방
素 본디 소
遣 보낼 견
抗 겨룰 항
模 본뜰 모
雄 수컷 웅
益 더할 익
緊 긴할 긴
標 표할 표
宣 베풀 선
昭 밝을 소
廃 폐할 폐
江 강 강
僚 동료 료
吉 길할 길
盛 성할 성
皇 임금 황
臨 임할 림
踏 밟을 답
壊 무너질 괴
債 빚 채
興 일 흥
源 근원 원
儀 거동 의
創 비롯할 창
障 막을 장
継 이을 계
筋 힘줄 근
狙 노릴 저
闘 싸움 투
葬 장사지낼 장
避 피할 피
司 맡을 사
康 편안 강
善 착할 선
逮 잡을 체
迫 핍박할 박
惑 미혹할 혹
崩 무너질 붕
紀 벼리 기
聴 들을 청
脱 벗을 탈
級 등급 급
博 넓을 박
締 맺을 체
救 구원할 구
執 잡을 집
房 방 방
撤 거둘 철
削 깎을 삭
密 빽빽할 밀
措 둘 조
志 뜻 지
載 실을 재
陣 진칠 진
我 나 아
為 할 위
抑 누를 억
幕 장막 막
染 물들 염
奈 어찌 내
傷 다칠 상
択 가릴 택
秀 빼어날 수
徴 부를 징
弾 탄알 탄
償 갚을 상
功 공 공
拠 근거 거
秘 숨길 비
拒 막을 거
刑 형벌 형
塚 무덤 총
致 이를 치
繰 고치켤 조
尾 꼬리 미
描 그릴 묘
鈴 방울 령
盤 소반 반
項 항목 항
喪 잃을 상
伴 짝 반
養 기를 양
懸 달 현
街 거리 가
契 맺을 계
掲 높이들 게
躍 뛸 약
棄 버릴 기
邸 집 저
縮 줄일 축
