# N1 단어 한국어 뜻
俺	나 (남성, 거친 말)
様|さま	모양, ~님
先|せん	이전, 먼저
頭|かしら	우두머리, 머리
超	초~
奴	녀석
開催	개최
人気|ひとけ	인기척
対応	대응
システム	시스템
登録	등록
設定	설정
開発	개발
来る|きたる	오는, 다가오는
限定	한정
覚え	기억, 경험
事業	사업
主|ぬし	주인
主|しゅ	주, 주인
映像	영상
ファン	팬
出演	출연
発生	발생
ポイント	포인트, 요점
企画	기획
施設	시설
とりあえず	우선, 일단
詳細	상세
調べ	조사
作り	만듦새, 구조
提供	제공
運営	운영
種|しゅ	종 (종류)
美	미, 아름다움
反応	반응
購入	구입
不明	불명
コメント	코멘트, 논평
通常	통상, 보통
行為	행위
値|あたい	값, 가치
セックス	섹스, 성
取引	거래
本気	진심
器	그릇
勝手	제멋대로, 부엌
採用	채용
専用	전용
掲載	게재
破壊	파괴
動き	움직임, 동향
勝利	승리
及び	및
杯	잔
作戦	작전
導入	도입
市場|しじょう	시장 (경제)
メーカー	제조사
メディア	미디어
天	하늘
地元	현지, 그 고장
報道	보도
サイズ	크기
設置	설치
体験	체험
業務	업무
発言	발언
タイム	시간, 타임
復活	부활
強	강함
世代	세대
レース	경주, 레이스
規模	규모
助け	도움
魂	혼, 영혼
主人公	주인공
ファイル	파일
ベース	기초, 베이스
保険	보험
マーク	마크
闇	어둠
再生	재생
殺人	살인
政策	정책
戦闘	전투
総合	종합
類	종류, 유
恋愛	연애
獣|けだもの	짐승
獣|けもの	짐승
行い	행실
ビジネス	비즈니스
認識	인식
バー	바
支持	지지
扱い	취급
詐欺	사기
政権	정권
固定	고정
内部	내부
確保	확보
連中	패거리, 동아리
技	기술, 기예
指摘	지적
資金	자금
地獄	지옥
証拠	증거
派遣	파견
もしくは	혹은
感染	감염
伝説	전설
達成	달성
ベスト	최선, 조끼
慣れ	익숙함
気軽	부담 없음, 선뜻
投資	투자
事前	사전
進化	진화
タイミング	타이밍
原作	원작
一切	일절, 전부
確定	확정
かつて	일찍이, 예전에
空間	공간
交渉	교섭
細胞	세포
背景	배경
閲覧	열람
展示	전시
所有	소유
実|じつ	실제, 진실
緊急	긴급
処分	처분
優先	우선
受け入れ	받아들임
獲得	획득
副	부~, 부수적
運用	운용
諦め	체념
角|つの	뿔
演出	연출
記載	기재
業者	업자
ショー	쇼
纏め	정리, 요약
独自	독자적
オンライン	온라인
監視	감시
危機	위기
スト	파업
兵器	병기
防衛	방위
現地	현지
強制	강제
当選	당선
職員	직원
装備	장비
乳	젖
負担	부담
崩壊	붕괴
本格	본격
カット	컷, 삭감
ゲスト	게스트
協会	협회
拒否	거부
垢	때
真実	진실
素材	소재
ジャンル	장르
理論	이론
災害	재해
ニュー	뉴, 새로운
公	공, 공적
革命	혁명
上位	상위
衝撃	충격
正義	정의
チャンネル	채널
取材	취재
避難	피난
コーナー	코너
特集	특집
流し	개수대
勤務	근무
天才	천재
同意	동의
育成	육성
妊娠	임신
運命	운명
加工	가공
看護	간호
審査	심사
スペース	공간
トラブル	말썽, 문제
入手	입수
行政	행정
衣装	의상
上昇	상승
宣言	선언
向上	향상
効率	효율
徒歩	도보
恐れ	두려움, 우려
当て	기대, 목표
ホール	홀
名誉	명예
もはや	이제는
コントロール	통제
燃料	연료
配置	배치
推進	추진
ソロ	솔로
旦那	남편, 나리
ジャンプ	점프
放置	방치
暴力	폭력
源	근원
再現	재현
扉	문
応募	응모
回収	회수
規定	규정
わざわざ	일부러
報酬	보수
内閣	내각
解除	해제
長官	장관
実家	친정, 본가
福祉	복지
文書	문서
参照	참조
所属	소속
対処	대처
悩み	고민
悪化	악화
正解	정답
定義	정의 (definition)
軍事	군사
陣	진, 진영
新人	신인
出現	출현
縁|へり	가장자리
本体	본체
酸	산
任務	임무
把握	파악
概念	개념
各種	각종
キャリア	경력
思考	사고
制服	제복
セール	세일
ソース	소스, 출처
惑星	행성
方式	방식
ドライバー	운전자, 드라이버
介護	간병
犠牲	희생
電源	전원
資産	자산
依存	의존
手法	수법
成果	성과
センス	센스
中継	중계
弱	약함
部門	부문
無線	무선
領域	영역
配布	배포
軸	축
移行	이행
訴訟	소송
爆弾	폭탄
主催	주최
リード	리드
権力	권력
告白	고백
パート	파트, 시간제
上がり	오름, 수입
前提	전제
充実	충실
従来	종래
風俗	풍속
民族	민족
了解	양해, 이해
作用	작용
廃止	폐지
意図	의도
大幅	대폭
勢力	세력
塾	학원
閉鎖	폐쇄
英雄	영웅
我|が～	자아, 아집
形成	형성
暗殺	암살
スタジオ	스튜디오
設立	설립
脱出	탈출
多様	다양
連邦	연방
我|われ	나, 우리
収集	수집
武装	무장
補助	보조
要請	요청
突破	돌파
訴え	호소, 소송
改革	개혁
若干	약간
ブーム	붐
不良	불량
古代	고대
決勝	결승
浮気	바람기
拡散	확산
極めて	극히
経過	경과
説得	설득
騒動	소동
部下	부하
保管	보관
判決	판결
工作	공작
シート	시트, 좌석
会見	회견
逆転	역전
接触	접촉
攻め	공격
届	신고
乙	을 (둘째)
圧力	압력
人材	인재
退職	퇴직
体力	체력
司法	사법
兵士	병사
矢	화살
憧れ	동경
対抗	대항
汚れ	더러움
権限	권한
どうにか	어떻게든
該当	해당
確信	확신
主演	주연
警戒	경계
死刑	사형
事項	사항
争い	다툼
青春	청춘
