# N2 단어 한국어 뜻
発売	발매
登場	등장
やっぱり	역시
撮影	촬영
公式	공식
終了	종료
シリーズ	시리즈
モデル	모델
追加	추가
限り	한도, ~하는 한
その他	그 밖
展開	전개
対策	대책
以降	이후
指定	지정
発	출발, 발
特定	특정
編集	편집
制作	제작
おはよう	안녕 (아침 인사)
テーマ	주제
複数	복수
スタート	시작
コース	코스
バンド	밴드
フリー	자유, 무료
解説	해설
募集	모집
基準	기준
自ら	스스로
カラー	컬러, 칼라
構造	구조
停止	정지
周辺	주변
工事	공사
ステージ	무대
段階	단계
バック	뒤, 배경
パンツ	팬티, 바지
プログラム	프로그램
基地	기지
本来	본래
作成	작성
温泉	온천
関西	간사이 (오사카 지방)
強化	강화
深夜	심야
ダム	댐
年度	연도
資料	자료
職場	직장
接続	접속
カバー	커버
シーズン	시즌
交流	교류
小学生	초등학생
調整	조정
いきなり	갑자기
継続	계속
書籍	서적
少なくとも	적어도
送料	배송비
自宅	자택
前後	앞뒤, 전후
確率	확률
診断	진단
体制	체제
目指す	목표로 하다
回転	회전
きっかけ	계기
特殊	특수
関東	간토 (도쿄 지방)
当日	당일
パターン	패턴
解放	해방
性能	성능
解散	해산
整備	정비
標準	표준
元々	원래
改正	개정
基礎	기초
形式	형식
芸能	예능
姿勢	자세
勝負	승부
ショップ	가게
発電	발전 (전기)
方針	방침
一応	일단
どうせ	어차피
本部	본부
水着	수영복
公共	공공
知り合い	아는 사람
素人	아마추어, 초보
成立	성립
電力	전력
統一	통일
ピンク	분홍
民間	민간
改めて	다시, 새삼
一定	일정
回答	회답
高級	고급
製作	제작
直後	직후
美容	미용
平日	평일
申請	신청
全力	전력 (온 힘)
普及	보급
削除	삭제
外部	외부
神様	신
高度	고도
集合	집합
相互	상호
御免	죄송, 사절
項目	항목
創作	창작
大分|だいぶん	꽤
ナンバー	번호
平気	태연함, 아무렇지 않음
幼稚園	유치원
さっさと	빨리빨리
実績	실적
受験	수험
スマート	스마트, 날씬함
低下	저하
余計	쓸데없음, 더욱
回数	횟수
天皇	천황
懐かしい	그립다
有料	유료
延長	연장
勘違い	착각
新幹線	신칸센
素直	솔직함, 순수함
狙い	노림, 목표
防止	방지
警備	경비
国立	국립
作者	작자
比較的	비교적
付近	부근
マスク	마스크
メニュー	메뉴
公表	공표
コレクション	컬렉션
対立	대립
直前	직전
動作	동작
欄	란
競馬	경마
サンプル	샘플
めちゃくちゃ	엉망진창
連合	연합
通知	통지
繋がり	연결, 관계
講師	강사
主人	주인, 남편
統計	통계
うどん	우동
各地	각지
流石	역시
ついで	김, ~하는 김에
爪	손톱, 발톱
発揮	발휘
輸送	수송
箇所	개소, 곳
サークル	동아리
実感	실감
ダブル	더블
表紙	표지
紫	보라색
割引	할인
開放	개방
桁	자릿수
実用	실용
人事	인사
侵入	침입
電波	전파
なんとなく	왠지
部品	부품
録音	녹음
汁	국물, 즙
付属	부속
方面	방면
無限	무한
拡張	확장
観測	관측
自治	자치
純粋	순수
殿	님, 귀하
マンション	아파트 (고급)
未満	미만
改造	개조
書店	서점
政党	정당
成分	성분
体操	체조
電池	전지
いよいよ	드디어, 점점
研修	연수
重量	중량
上下	상하
丼	덮밥, 사발
行方	행방
学会	학회
外科	외과
中間	중간
ボーナス	보너스
怪しい	수상하다
こうして	이렇게 해서
消化	소화
分類	분류
ランチ	점심
看板	간판
交代	교대
こんばんは	안녕하세요 (저녁)
死体	시체
せめて	적어도
それなら	그렇다면
手続き	수속
日時	일시
反映	반영
ポスター	포스터
用語	용어
売上	매상
スクール	학교
中世	중세
こっそり	몰래
早速	즉시, 곧
上級	상급
測定	측정
チップ	팁
問い合わせ	문의
透明	투명
花火	불꽃놀이
リズム	리듬
倉庫	창고
発想	발상
瞳	눈동자
皮膚	피부
応用	응용
正面	정면
職人	장인
分解	분해
法則	법칙
集会	집회
商業	상업
生存	생존
接近	접근
日程	일정
引っ越し	이사
用途	용도
但し	단, 다만
過剰	과잉
出勤	출근
商店	상점
入社	입사
広場	광장
憎い	밉다
一旦	일단
移転	이전
センチ	센티미터
マラソン	마라톤
予備	예비
鑑賞	감상
月末	월말
鈴	방울
地点	지점
狙う	노리다
面積	면적
ゴム	고무
性別	성별
竹	대나무
加速	가속
水素	수소
ともかく	어쨌든
虹	무지개
稀	드묾
ワンピース	원피스
カロリー	칼로리
地面	지면, 땅바닥
寿命	수명
水分	수분
粒	알, 낟알
身分	신분
欧米	구미, 서양
合理	합리
国王	국왕
実習	실습
将棋	장기
なんとも	정말, 뭐라고도
故郷|ふるさと	고향
レンズ	렌즈
オイル	오일
原理	원리
高等	고등
出張	출장
台詞	대사
地帯	지대
就任	취임
ストップ	정지
相撲	스모
手前	바로 앞, 체면
枕	베개
往復	왕복
着替え	옷 갈아입기
神話	신화
全般	전반
売買	매매
保健	보건
目立つ	눈에 띄다
伯父さん	큰아버지, 아저씨
小父さん	아저씨
叔父さん	작은아버지, 아저씨
境界	경계
行事	행사
ジャーナリスト	기자, 저널리스트
重力	중력
主役	주역
名作	명작
冷凍	냉동
液体	액체
角度	각도
儀式	의식
原稿	원고
合同	합동
合流	합류
ダイヤモンド	다이아몬드
乗り換え	환승
リボン	리본
売り上げ	매상
学部	학부
唇	입술
敷地	부지
短期	단기
花嫁	신부
蓋	뚜껑
足元	발밑
こないだ	요전에
サラリーマン	회사원
推定	추정
循環	순환
賞金	상금
乗車	승차
杉	삼나무
大学院	대학원
滝	폭포
幼児	유아
区域	구역
見学	견학
平野	평야
切っ掛け	계기
基盤	기반
個体	개체
古典	고전
祝日	공휴일
ただいま	다녀왔습니다
長男	장남
斜め	비스듬함
餅	떡
給与	급여
工夫	궁리, 고안
先頭	선두
濃度	농도
プリント	인쇄물, 프린트
窓口	창구
矛盾	모순
アンテナ	안테나
意義	의의
いちいち	하나하나
区分	구분
系統	계통
縮小	축소
知人	지인
通路	통로
弟子	제자
ハンドル	핸들
塊	덩어리
学科	학과
果たして	과연
ビタミン	비타민
響き	울림
浴衣	유카타
偉い	훌륭하다
学年	학년
貨物	화물
私立	사립
上り	오르막, 상행
話し合い	의논
夜間	야간
来日	방일 (일본에 옴)
果実	과실
行列	행렬, 줄
琴|きん	거문고
傑作	걸작
気配	기척, 기미
東西	동서
何とも	정말로, 뭐라고
皮肉	비꼼, 아이러니
以後	이후
演劇	연극
火山	화산
強引	억지
司会	사회 (진행)
子孫	자손
執筆	집필
務める	맡다 (역할)
点数	점수
夫妻	부부
臨時	임시
一流	일류
一斉	일제히
満点	만점
役者	배우
自衛	자위
隙間	틈새
通用	통용
定価	정가
はじめまして	처음 뵙겠습니다
枚数	장수
見出し	표제
油断	방심
為替	환율, 환
弱点	약점
隙	틈, 빈틈
折角	모처럼
圧縮	압축
叔父	숙부, 삼촌
ガム	껌
キャンパス	캠퍼스
公衆	공중
図鑑	도감
迫る	다가오다, 강요하다
先端	첨단, 끝
太鼓	북
直径	직경
とっくに	훨씬 전에
リットル	리터
漸く	겨우, 간신히
恨み	원한
教養	교양
くだらない	시시하다
肯定	긍정
焦点	초점
スピーカー	스피커
ネックレス	목걸이
巡る	돌다, 둘러싸다
有難い	고맙다
気圧	기압
空中	공중
原料	원료
先祖	선조
手帳	수첩
都心	도심
昼寝	낮잠
役目	임무, 역할
お休み	휴일, 안녕히 주무세요
思いっきり	마음껏
稽古	연습, 수련
三角	삼각
水平	수평
すっきり	산뜻함, 개운함
増大	증대
潰す	찌부러뜨리다, 허비하다
出入り	출입
評論	평론
名物	명물
宴会	연회
おかず	반찬
香水	향수
コンクリート	콘크리트
混合	혼합
妥当	타당
直線	직선
方言	방언
膨大	방대
間もなく	머지않아
群れ	무리
王女	공주
下旬	하순
心当たり	짐작 가는 데
小遣い	용돈
実物	실물
体系	체계
防犯	방범
モーター	모터
育児	육아
会館	회관
スライド	슬라이드
清掃	청소
手首	손목
判事	판사
噴火	분화
牧場	목장
英文	영문
間接	간접
器具	기구
彫刻	조각
テンポ	템포
吐き気	구역질
苦情	불평, 민원
寺院	사원
消耗	소모
続々	잇달아
灰色	회색
親指	엄지
海洋	해양
乾杯	건배
中旬	중순
番地	번지
ベテラン	베테랑
ランニング	달리기
学術	학술
課税	과세
冠	관, 왕관
記号	기호
産地	산지
線路	선로
包丁	식칼
毎度	매번
役所	관청
郵送	우송
ロビー	로비
加熱	가열
観念	관념
限度	한도
娯楽	오락
住居	주거
調節	조절
風船	풍선
ヘリコプター	헬리콥터
満員	만원
薬局	약국
架空	가공 (허구)
クーラー	에어컨
功績	공적
