# N3 단어 한국어 뜻
と	~와, ~과
日|にち	일, 날
者	사람, 자
中|ちゅう	중, 가운데
方|ほう	쪽, 편
日本|にっぽん	일본
日本|にほん	일본
より	~보다, ~에서
出	나옴, 출신
分|ぶ	푼, 부분, 비율
分|ぶん	분량, 몫, 부분
円|えん	원, 엔 (화폐)
円|まる	동그라미
後|ご	후, 이후
後|のち	나중, 뒤
良い	좋다
性	성, 성별
大	큰, 대
上|じょう	상, 윗급
上|うわ	위, 겉
上|かみ	위, 윗사람
考え	생각
数|すう	수, 몇
数|かず	수, 수효
感じ	느낌
来	다음 ~, 오는 ~
他|た	다른, 타
他|ほか	그 밖
ありがとう	고마워요
市|いち	시장, 장
県	현 (행정구역)
度	~번, 정도
ゲーム	게임
情報	정보
そして	그리고
今日|こんにち	오늘날
金|かね	돈
可能	가능
金|きん	금
間|ま	사이, 틈, 방
名	이름, 명성
人間	인간
位	위치, 지위, 정도
ただ	그저, 공짜
使用	사용
生|せい	삶, 생
結果	결과
生|なま	날것, 생
参加	참가
だって	그래도, 왜냐하면
お前	너
神	신
無料	무료
版	판 (출판)
下|しも	아래, 하류
下|げ	하, 아래
元	원래, 이전
氏	씨, 성씨
相手	상대
方法	방법
型	형, 틀
作品	작품
企業	기업
現在	현재
存在	존재
行き|いき	가는 길, ~행
行き|ゆき	가는 길, ~행
事件	사건
状態	상태
女子	여자
絶対	절대
最高	최고
約	약, 대략
実際	실제
確認	확인
まあ	뭐, 글쎄
今回	이번
夜|よ	밤
個人	개인
教え	가르침
法	법
ずっと	계속, 훨씬
場	장소, 자리
かなり	꽤, 상당히
理解	이해
人気|にんき	인기
状況	상황
全て	모두, 전부
音|おん	음, 소리
活動	활동
内容	내용
販売	판매
音|ね	소리, 음색
完全	완전
全	전, 모든
発表	발표
自身	자신
一般	일반
攻撃	공격
無|む	무, 없음
件	건, 사항
無|ぶ	무, 없음
部分	부분
愛	사랑
全員	전원
ちゃんと	제대로, 확실히
重要	중요
機能	기능
調査	조사
人生	인생
開始	개시
記事	기사
際	때, 즈음
目的	목적
チーム	팀
政府	정부
影響	영향
地	땅
姿	모습
管理	관리
期間	기간
基本	기본
率	비율
地域	지역
街	거리, 시가
カード	카드
以前	이전
王	왕
記念	기념
軍	군대
決定	결정
違い	차이
過去	과거
期待	기대
効果	효과
行動	행동
実は	실은
イメージ	이미지
海外	해외
関連	관련
最終	최종
レベル	수준, 레벨
選手	선수
評価	평가
希望	희망
サービス	서비스
全国	전국
全く	전혀, 완전히
環境	환경
議員	의원
デザイン	디자인
成功	성공
つまり	즉, 결국
発見	발견
データ	데이터
品|しな	물건, 품질
主義	주의
逆	반대, 거꾸로
協力	협력
量	양
程度	정도
品|ひん	품위
本当|ほんと	정말
責任	책임
生まれ	출생, 태생
組	조, 반
契約	계약
酒	술
メンバー	멤버
話題	화제
代表	대표
敵	적
プロ	프로
変更	변경
小	작은, 소
商品	상품
運転|うんてん	운전, 운행
面	면, 얼굴, 가면
対象	대상
試し	시험 삼아 함
年間	연간
被害	피해
非常	비상, 대단함
選挙	선거
移動	이동
記録	기록
流れ	흐름
報告	보고
間違い	잘못, 실수
表示	표시
文字|もじ	문자, 글자
文字|もんじ	문자
訳|やく	번역
全体	전체
誕生	탄생
なお	더욱, 또한
能力	능력
秒	초
意識	의식
一方	한편
価値	가치
感じる	느끼다
ほぼ	거의
保護	보호
時期	시기
精神	정신
組織	조직
担当	담당
幸せ	행복
解決	해결
交換	교환
そのまま	그대로
それぞれ	각각
中心	중심
表現	표현
死	죽음
タイトル	제목
しかも	게다가
自然	자연
営業	영업
感謝	감사
例	예
当時	당시
事実	사실
自動	자동
セット	세트
記憶	기억
グループ	그룹
身	몸
想像	상상
大会	대회
判断	판단
結局	결국
現実	현실
未来	미래
労働	노동
種|たね	씨앗, 원인
位置	위치
印象	인상
空|から	빈 것, 텅 빔
アップ	업, 상승
作	작품, 수확
ドラマ	드라마
仲間	동료, 한패
本人	본인
参考	참고
実施	실시
馬	말 (동물)
友人	친구
センター	센터
地球	지구
出会い	만남
正直	정직, 솔직히
少女	소녀
宇宙	우주
国民	국민
四|よん	사, 넷
携帯	휴대, 휴대전화
大統領	대통령
障害	장애
消費	소비
明らか	분명함
価格	가격
学	학문
監督	감독
経営	경영
差	차이
読み	읽기
楽	편함
弾	탄알
トップ	톱, 최고
犯罪	범죄
負け	패배
国家	국가
作業	작업
役	역할, 직책
戦い	싸움
疲れ	피로
値|ね	값
不|ふ	불~, 부~ (부정)
不|ぶ	부~, 불~ (부정)
祭	축제
脳	뇌
少年	소년
制限	제한
制度	제도
完成	완성
地方	지방
方向	방향
自己	자기
委員	위원
健康	건강
恋	사랑, 연애
選択	선택
旅	여행
特徴	특징
当然	당연
人物	인물
成長	성장
機関	기관
郡	군 (행정구역)
これら	이것들
無駄	쓸데없음, 낭비
逮捕	체포
賞	상
命	목숨, 생명
医療	의료
今後	앞으로, 향후
都|みやこ	수도, 도읍
男子	남자
通信	통신
変化	변화
予想	예상
条件	조건
新た	새로움
観光	관광
現場	현장
直接	직접
種類	종류
応援	응원
級	급
コード	코드
治療	치료
枠	테두리, 틀
州	주 (행정구역)
活躍	활약
局	국 (기관)
それでも	그래도
投票	투표
年齢	연령
不安	불안
隊	대 (무리)
安定	안정
おめでとう	축하해요
広告	광고
丸	동그라미
迎え	마중
胸	가슴
連続	연속
装置	장치
土	흙
都市	도시
謎	수수께끼
馬鹿	바보
秘密	비밀
武器	무기
処理	처리
満足	만족
常に	항상
様々	여러 가지
主張	주장
瞬間	순간
いずれ	어차피, 언젠가, 어느 것
市場|いちば	시장
ママ	엄마
申し訳	변명, 죄송함
物語	이야기
団体	단체
罪	죄
定期	정기
電子	전자
同様	마찬가지
メッセージ	메시지
指導	지도
感覚	감각
禁止	금지
現代	현대
公演	공연
操作	조작
とにかく	어쨌든
普段	평소
スタイル	스타일
穴	구멍
あるいは	혹은
機械	기계
借り	빌림, 빚
舞台	무대
雰囲気	분위기
平和	평화
身体	신체
信頼	신뢰
既に	이미
設計	설계
維持	유지
勝ち	승리
感情	감정
旧	구, 옛
切れ	조각, 끊김
要素	요소
相当	상당히, 상응
そこで	그래서
友	벗, 친구
無し	없음
批判	비판
表|ひょう	표 (도표)
城	성
スター	스타
性格	성격
製品	제품
得る|える	얻다
得る|うる	얻다, ~할 수 있다
確実	확실
検査	검사
こんなに	이렇게
桜	벚꽃
唯一	유일
連れ	동행
提案	제안
努力	노력
仕様	방법, 사양
以来	이래
権利	권리
ごめんなさい	미안해요
目標	목표
余裕	여유
知識	지식
年代	연대
文	문장
平均	평균
ボール	공
挑戦	도전
同士	끼리, 동지
実験	실험
支配	지배
アルバム	앨범
いつか	언젠가
患者	환자
優勝	우승
悪	악
対|たい	대, 짝
中央	중앙
土地	토지
不思議	이상함, 신기함
保存	보존, 저장
対|つい	한 쌍
次第	순서, ~하는 대로
実行	실행
エネルギー	에너지
回復	회복
こんにちは	안녕하세요
さて	그런데, 자
面倒	귀찮음, 돌봄
様子	모습, 상태
他人	남, 타인
チャンス	기회
続き	계속, 이어짐
博士	박사
爆発	폭발
ルール	규칙
週	주
尻	엉덩이
お互い	서로
我慢	참음
ケース	경우, 케이스
工場|こうば	공장 (작은)
突然	갑자기
別に	별로
まさに	바로, 틀림없이
集中	집중
証明	증명
女優	여배우
異常	이상 (비정상)
一体	도대체, 일체
帯	띠
教授	교수
魅力	매력
要求	요구
ダンス	댄스
注目	주목
残り	나머지
無事	무사
まさか	설마
更に	게다가, 더욱
実現	실현
死亡	사망
製造	제조
依頼	의뢰
魚|うお	물고기
完了	완료
刑事	형사
検討	검토
構成	구성
異なる	다르다
立場	입장
納得	납득
母親	어머니
本物	진짜
銃	총
集団	집단
手段	수단
人類	인류
末|すえ	끝, 말
税	세금
エンジン	엔진
守る	지키다
到着	도착
腹	배
含む	포함하다
末|まつ	말, 끝
信用	신용
板	판자
演奏	연주
会員	회원
券	표, 권
恋人	연인
裁判	재판
玉	구슬, 공
父親	아버지
調子	상태, 컨디션
始まり	시작
比較	비교
便	편, 편리
捜査	수사
自殺	자살
修正	수정
運	운
感想	감상
まるで	마치
ミス	실수
迷惑	폐, 민폐
我々	우리
道路	도로
範囲	범위
ビデオ	비디오
分析	분석
収入	수입 (소득)
首相	수상, 총리
出身	출신
与える	주다
現れ	나타남, 표현
改善	개선
拡大	확대
歓迎	환영
暮らし	생활, 살림
訓練	훈련
計算	계산
劇場	극장
最低	최저, 최악
デート	데이트
ビール	맥주
筋	근육, 줄거리, 줄기
世紀	세기
説	설, 학설
候補	후보
好み	취향
遅れ	늦음, 지연
規制	규제
興奮	흥분
辛い|つらい	괴롭다
何で	왜, 무엇으로
日常	일상
不足	부족
質	질
住民	주민
噂	소문
言語	언어
実|み	열매
模様	무늬, 모양
肌	피부
再び	다시
ホーム	플랫폼, 홈
ストレス	스트레스
宗教	종교
図	그림, 도표
生命	생명
あんまり	그다지, 너무
医師	의사
鬼	도깨비, 귀신
許可	허가
巨大	거대
高速	고속
伝統	전통
党	당, 정당
トラック	트럭
分野	분야
事情	사정
正確	정확
当たり前	당연함
痛み	아픔, 통증
記者	기자
建設	건설
利益	이익
宣伝	선전
大臣	장관
地下	지하
中身	내용물, 알맹이
物質	물질
相	상, 양상
住宅	주택
手術	수술
章	장 (책)
心理	심리
