# N4 단어 한국어 뜻
日|ひ	해, 날
そう	그렇게, 그래
月	달
気	기분, 마음
事	일, 것
思う	생각하다
必要	필요
そんな	그런
世界	세계
市|し	시 (도시)
関係	관계
僕	나 (남성)
力	힘
くれる	(남이 나에게) 주다
場合	경우
子	아이
以上	이상
間|あいだ	사이, 동안
あ	아
様|よう	모양, ~같음
女性	여성
君	너, 자네
内	안, 내부
用	볼일, 용무
最近	최근
時代	시대
彼	그, 남자친구
心	마음
アメリカ	미국
別	다름, 별개
場所	장소
最後	마지막
点	점, 점수
社会	사회
理由	이유
最初	최초, 처음
彼女	그녀, 여자친구
漫画	만화
無理	무리
利用	이용
はず	~할 터, ~일 것
以外	이외
通り	길, 거리, ~대로
普通	보통
簡単	간단
気持ち	기분, 마음
生活	생활
こう	이렇게
音|おと	소리
放送	방송
娘	딸
技術	기술
夢	꿈
特に	특히
説明	설명
研究	연구
もちろん	물론
戦争	전쟁
確か	확실함, 아마
予定	예정
明日|あす	내일
紹介	소개
計画	계획
昔	옛날
形	모양, 형태
自由	자유
これから	지금부터, 앞으로
うん	응
男性	남성
注意	주의
だから	그러니까
連絡	연락
為	위함, 때문
見える	보이다
安全	안전
大事	중요함, 소중함
以下	이하
ほとんど	대부분, 거의
政治	정치
線	선
米	쌀
歴史	역사
考える	생각하다
警察	경찰
楽しみ	즐거움, 기대
怖い	무섭다
教育	교육
光	빛
特別	특별
番組	(방송) 프로그램
事故	사고
経済	경제
全然	전혀
専門	전문, 전공
文化	문화
暮れる	(날이) 저물다
嘘	거짓말
まず	우선, 먼저
心配	걱정
興味	흥미
経験	경험
残念	유감, 아쉬움
終わり	끝
運転|うんてんする	운전
星	별
行う	행하다, 실시하다
彼ら	그들
億	억
タイプ	타입, 유형
運動	운동
変	이상함
妻	아내
訳|わけ	이유, 까닭
最も	가장
もし	만약
つもり	생각, 작정
倍	배, 곱절
気分	기분
味	맛
失敗	실패
しっかり	단단히, 제대로
原因	원인
安心	안심
嬉しい	기쁘다
危険	위험
そんなに	그렇게 (많이)
準備	준비
試合	시합
きっと	분명히, 꼭
今度	이번, 다음번
親	부모
用意	준비
科学	과학
予約	예약
裏	뒤, 뒷면
島	섬
必ず	반드시
もらう	받다
皆	모두
周り	주위
卒業	졸업
素晴らしい	훌륭하다, 멋지다
火	불
息子	아들
または	또는
続ける	계속하다
途中	도중
森	숲
石	돌
生産	생산
国際	국제
仕方	방법, 하는 수
食事	식사
会議	회의
意見	의견
客	손님
反対	반대
髪	머리카락
ソフト	소프트, 소프트웨어
夫	남편
都|と	도 (도쿄도)
壁	벽
席	자리, 좌석
法律	법률
凄い	굉장하다
機会	기회
小説	소설
事務所	사무소
美しい	아름답다
趣味	취미
失礼	실례
地震	지진
社長	사장
おかしい	이상하다, 우습다
プレゼント	선물
代わり	대신
だめ	안 됨, 소용없음
受ける	받다
例えば	예를 들면
正しい	옳다, 바르다
会話	회화, 대화
あげる	(내가 남에게) 주다
会場	회장, 행사장
ビル	빌딩
変わる	바뀌다, 변하다
遊び	놀이
帰り	귀가, 돌아옴
市民	시민
首	목
表|おもて	겉, 앞면
試験	시험
そろそろ	슬슬
なるほど	과연, 그렇군
相談	상담, 의논
始める	시작하다
過ぎる	지나다, 지나치다
ガス	가스
どんどん	척척, 자꾸
続く	계속되다
指	손가락
さっき	아까
字	글자
急	급함, 갑작스러움
交通	교통
しばらく	잠시, 한동안
葉	잎
やっと	겨우, 드디어
血	피
値段	가격
工場|こうじょう	공장
案内	안내
空気	공기
ひどい	심하다, 지독하다
是非	꼭, 부디
腕	팔
毛	털
将来	장래
それで	그래서
熱	열
探す	찾다
あんな	저런
約束	약속
草	풀
以内	이내
はっきり	분명히, 확실히
変える	바꾸다
合う	맞다
久しぶり	오래간만
小学校	초등학교
パソコン	컴퓨터, PC
産業	산업
近所	근처, 이웃
先輩	선배
人口	인구
うまい	맛있다, 잘하다
