# N5 단어 한국어 뜻. 형식: 단어<TAB>뜻 (읽기가 여러 개인 단어는 단어|읽기)
ない	없다, ~하지 않다
する	하다
人	사람
この	이
これ	이것
年	해, 나이
その	그
なる	되다
中|なか	안, 속, 가운데
それ	그것
でも	하지만, 그래도
何	무엇
私|わたし	나, 저
私|わたくし	저 (격식)
一	일, 하나
今	지금
方|かた	분 (사람의 높임), ~하는 법
自分	자기, 자신
前	앞, 전
時間	시간
どう	어떻게
また	또, 다시
もう	벌써, 이제, 더
目	눈
できる	할 수 있다, 생기다
話	이야기
家	집
後|あと	뒤, 나중
好き	좋아함
二	이, 둘
ここ	여기
上|うえ	위
万	만 (숫자)
誰	누구
ちょっと	조금, 잠깐
本	책
あれ	저것
よく	자주, 잘
ああ	아, 저렇게
言う	말하다
仕事	일, 직업
あなた	당신
同じ	같음
こんな	이런
問題	문제
まだ	아직
手	손
みんな	모두
三	삼, 셋
国	나라
今日|きょう	오늘
しかし	그러나
多い	많다
車	차, 자동차
あの	저
男	남자
どこ	어디
所	곳, 장소
女	여자
行く	가다
次	다음
やる	하다, 주다
欲しい	갖고 싶다
見る	보다
意味	의미, 뜻
一緒	함께
そこ	거기
うち	집, 우리 집
店	가게
もっと	더
悪い	나쁘다
顔	얼굴
先|さき	앞, 먼저
写真	사진
物	물건, 것
会社	회사
声	목소리
違う	다르다, 틀리다
頭|あたま	머리
十|じゅう	십, 열
少し	조금
十|(〜を) とお	열 (개)
いつも	항상, 늘
子供	아이
こちら	이쪽
名前	이름
下|した	아래, 밑
高い	높다, 비싸다
一番	가장, 제일
言葉	말, 단어
大丈夫	괜찮음
町	마을, 동네
映画	영화
駅	역
体	몸
とても	매우
下さい	주세요
水	물
学校	학교
先生	선생님
全部	전부
夜|よる	밤
結婚	결혼
外|そと	밖
テレビ	텔레비전
外|ほか	그 밖, 다른 것
色	색, 색깔
友達	친구
初めて	처음으로
一つ	한 개, 하나
新しい	새롭다
どんな	어떤
女の子	여자아이
なぜ	왜
大変	큰일, 매우 힘듦
出る	나가다, 나오다
風	바람
道	길
お金	돈
電話	전화
どの	어느
明日|あした	내일
口	입
ニュース	뉴스
花	꽃
いつ	언제
朝	아침
来る|くる	오다
使う	사용하다, 쓰다
家族	가족
部屋	방
英語	영어
夏	여름
質問	질문
大学	대학
強い	강하다
大きな	큰
音楽	음악
はい	네, 예
毎日	매일
結構	꽤, 충분함, 괜찮음
病院	병원
こっち	이쪽
どれ	어느 것
犬	개
海	바다
面白い	재미있다
作る	만들다
母	어머니 (나의)
千	천
近く	근처
暗い	어둡다
嫌	싫음
ええ	네, 응
死ぬ	죽다
父	아버지 (나의)
持つ	들다, 가지다
色々	여러 가지
本当|ほんとう	정말, 진짜
絵	그림
昨日	어제
今年	올해
多分	아마
猫	고양이
難しい	어렵다
可愛い	귀엽다
元気	건강함, 기운
白	흰색
入る	들어가다
バス	버스
百	백
服	옷
勉強	공부
嫌い	싫어함
スポーツ	스포츠
楽しい	즐겁다
木	나무
黒	검은색
買う	사다
山	산
歌	노래
大人	어른
学生	학생
薬	약
右	오른쪽
料理	요리
カメラ	카메라
大好き	아주 좋아함
出す	내다, 꺼내다
動物	동물
春	봄
大切	소중함
どっち	어느 쪽
ページ	페이지
分かる	알다, 이해하다
綺麗	예쁨, 깨끗함
銀行	은행
少ない	적다
空|そら	하늘
近い	가깝다
長い	길다
番号	번호
四|し	사, 넷
どうぞ	자, 어서 (권유)
肉	고기
皆さん	여러분
村	마을
かかる	걸리다, 들다 (시간·돈)
食べる	먹다
電車	전철
どちら	어느 쪽
聞く	듣다, 묻다
ホテル	호텔
入れる	넣다
有名	유명함
雨	비
外国	외국
北	북쪽
半	반, 절반
左	왼쪽
赤	빨강
箱	상자
若い	젊다
新聞	신문
パン	빵
南	남쪽
読む	읽다
妹	여동생
大きい	크다
カップ	컵
五	오, 다섯
テスト	시험, 테스트
耳	귀
クラス	반, 클래스
いくつ	몇 개, 몇 살
飲む	마시다
旅行	여행
秋	가을
コーヒー	커피
トイレ	화장실
早い	이르다, 빠르다
紙	종이
生徒	학생 (중·고등)
練習	연습
弟	남동생
電気	전기, 전등
横	옆, 가로
いくら	얼마
小さい	작다
小さな	작은
兄	형, 오빠 (나의)
八	팔, 여덟
冬	겨울
安い	싸다
青	파랑
雑誌	잡지
西	서쪽
半分	절반
公園	공원
沢山	많이
東	동쪽
後ろ	뒤
家庭	가정
古い	낡다, 오래되다
雪	눈 (날씨)
建物	건물
ラジオ	라디오
痛い	아프다
低い	낮다
病気	병
美味しい	맛있다
どうして	왜, 어째서
取る	잡다, 집다, 가지다
休み	휴일, 쉬는 시간
呼ぶ	부르다
姉	누나, 언니 (나의)
午後	오후
シャツ	셔츠
知る	알다
ゼロ	영, 제로
つける	켜다, 붙이다
ベッド	침대
兄弟	형제
魚|さかな	물고기, 생선
授業	수업
隣	옆, 이웃
鳥	새
始まる	시작되다
便利	편리함
居る	있다 (사람·동물)
自動車	자동차
ボタン	단추, 버튼
